2024-10-03 17:49:02,903 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-04 11:16:15,419 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=6 200 [0.02, 127.0.0.1:54641]
2024-10-04 11:16:15,422 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.03, 127.0.0.1:54628]
2024-10-04 11:16:15,487 INFO django.channels.server HTTP OPTIONS /jobs/jobs/ 200 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:15,488 INFO django.channels.server HTTP OPTIONS /jobs/job-categories/ 200 [0.00, 127.0.0.1:54649]
2024-10-04 11:16:15,750 INFO django.channels.server HTTP OPTIONS /jobs/job-categories/ 200 [0.01, 127.0.0.1:54658]
2024-10-04 11:16:15,751 INFO django.channels.server HTTP OPTIONS /jobs/jobs/ 200 [0.01, 127.0.0.1:54659]
2024-10-04 11:16:15,759 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.02, 127.0.0.1:54622]
2024-10-04 11:16:15,762 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=4 200 [0.02, 127.0.0.1:54666]
2024-10-04 11:16:15,823 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.02, 127.0.0.1:54638]
2024-10-04 11:16:15,826 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=6 200 [0.02, 127.0.0.1:54669]
2024-10-04 11:16:15,828 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.02, 127.0.0.1:54670]
2024-10-04 11:16:16,057 INFO django.channels.server HTTP GET /jobs/job-categories/ 200 [0.02, 127.0.0.1:54635]
2024-10-04 11:16:16,088 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.05, 127.0.0.1:54649]
2024-10-04 11:16:16,111 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.00, 127.0.0.1:54659]
2024-10-04 11:16:16,472 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54658]
2024-10-04 11:16:16,474 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.02, 127.0.0.1:54669]
2024-10-04 11:16:16,554 INFO django.channels.server HTTP GET /jobs/job-categories/ 200 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:16,691 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54659]
2024-10-04 11:16:16,691 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54675]
2024-10-04 11:16:16,699 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54677]
2024-10-04 11:16:16,701 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54678]
2024-10-04 11:16:16,738 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.06, 127.0.0.1:54649]
2024-10-04 11:16:17,760 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54676]
2024-10-04 11:16:17,763 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54688]
2024-10-04 11:16:17,763 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54690]
2024-10-04 11:16:17,765 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54687]
2024-10-04 11:16:17,767 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54691]
2024-10-04 11:16:17,769 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54689]
2024-10-04 11:16:17,769 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54692]
2024-10-04 11:16:17,954 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=[object%20Object] 200 [0.01, 127.0.0.1:54695]
2024-10-04 11:16:17,967 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.02, 127.0.0.1:54659]
